27	39	Конгресс США	Конгресс США	ORG	ORG-United-States-Congress
67	82	Дональда Трампа	Дональд Трамп	PER	PER-Donald-Trump
266	278	американский	американский	LOC	GPE-USA
298	312	республиканцам	республиканец	ORG	ORG-Republican-Party-USA
344	354	Конгрессом	Конгресс	ORG	ORG-United-States-Congress
392	399	Украины	Украина	LOC	GPE-Ukraine
464	473	демократы	демократ	ORG	ORG-Democratic-Party-USA
505	526	Палате представителей	Палата представителей	ORG	ORG-United-States-House-of-Representatives
677	683	Трампе	Трамп	PER	PER-Donald-Trump
716	726	демократов	демократ	ORG	ORG-Democratic-Party-USA
791	797	России	Россия	LOC	GPE-Russia
800	831	американские выборы в 2016 году	американские выборы в 2016 году	EVT	EVT-2016-United-States-Presidential-Election
873	887	республиканцев	республиканец	ORG	ORG-Republican-Party-USA
903	909	Трампа	Трамп	PER	PER-Donald-Trump
950	968	Владимиром Путиным	Владимир Путин	PER	PER-Vladimir-Putin
1032	1035	РБК	РБК	ORG	ORG-RBK-Group
1036	1043	Украина	Украина	LOC	GPE-Ukraine
1140	1143	США	США	LOC	GPE-USA
1144	1157	Дональд Трамп	Дональд Трамп	PER	PER-Donald-Trump
1322	1328	Трампа	Трамп	PER	PER-Donald-Trump
1459	1466	Америке	Америка	LOC	GPE-USA
1517	1526	Конгресса	Конгресс	ORG	ORG-United-States-Congress
1663	1684	Палаты представителей	Палата представителей	ORG	ORG-United-States-House-of-Representatives
1693	1699	Сената	Сенат	ORG	ORG-United-States-Senate
1710	1723	республиканцы	республиканцы	ORG	ORG-Republican-Party-USA
1748	1757	Конгресса	Конгресс	ORG	ORG-United-States-Congress
1817	1823	Сенате	Сенат	ORG	ORG-United-States-Senate
1841	1851	демократов	демократы	ORG	ORG-Democratic-Party-USA
2027	2036	демократы	демократы	ORG	ORG-Democratic-Party-USA
2048	2061	республиканцы	республиканцы	ORG	ORG-Republican-Party-USA
2079	2094	FiveThirtyEight	FiveThirtyEight	PRO	PRO-FiveThirtyEight
2163	2173	демократам	демократы	ORG	ORG-Democratic-Party-USA
2221	2227	Сенате	Сенат	ORG	ORG-United-States-Senate
2241	2250	демократы	демократ	ORG	ORG-Democratic-Party-USA
2331	2342	демократами	демократы	ORG	ORG-Democratic-Party-USA
2403	2424	Палата представителей	Палата представителей	ORG	ORG-United-States-House-of-Representatives
2463	2478	FiveThirtyEight	FiveThirtyEight	ORG	ORG-FiveThirtyEight
2484	2494	демократам	демократы	ORG	ORG-Democratic-Party-USA
2672	2675	США	США	LOC	GPE-USA
