14	40	Американские выборы - 2018	Американские выборы - 2018	EVT	EVT-2018-Congress-Elections-USA
74	86	американский	американский	LOC	GPE-USA
87	95	Конгресс	Конгресс	ORG	ORG-United-States-Congress
303	312	демократы	демократ	ORG	ORG-Democratic-Party-USA
333	354	Палате представителей	Палата представителей	ORG	ORG-United-States-House-of-Representatives
418	424	Трампа	Трамп	PER	PER-Donald-Trump
527	532	Обаме	Обама	PER	PER-Barack-Obama
582	596	республиканцам	республиканцы	ORG	ORG-Republican-Party-USA
629	634	Сенат	Сенат	ORG	ORG-United-States-Senate
713	735	сенатских выборах-2018	сенатские выборы-2018	EVT	EVT-USA-Senate-elections-2018
826	831	Трамп	Трамп	PER	PER-Donald-Trump
912	922	демократов	демократ	ORG	ORG-Democratic-Party-USA
925	946	Палате представителей	Палата представителей	ORG	ORG-United-States-House-of-Representatives
1146	1161	демократической	демократическая	ORG	ORG-Democratic-Party-USA
1297	1302	Обамы	Обама	PER	PER-Barack-Obama
1361	1377	республиканского	республиканский	ORG	ORG-Republican-Party-USA
1458	1467	демократы	демократы	ORG	ORG-Democratic-Party-USA
1470	1491	Палате представителей	Палата представителей	ORG	ORG-United-States-House-of-Representatives
1646	1651	Трамп	Трамп	PER	PER-Donald-Trump
1680	1688	Твиттере	Твиттер	PRO	PRO-Twitter
1699	1705	Сенате	Сенат	ORG	ORG-United-States-Senate
1716	1722	Трампу	Трамп	PER	PER-Donald-Trump
1862	1868	Трампа	Трамп	PER	PER-Donald-Trump
2109	2121	Билл Клинтон	Билл Клинтон	PER	PER-Bill-Clinton
2143	2151	Рузвельт	Рузвельт	PER	PER-Franklin-Roosevelt
2192	2200	Клинтона	Клинтон	PER	PER-Hillary-Clinton
2204	2213	Рузвельта	Рузвельт	PER	PER-Franklin-Roosevelt
2247	2253	Трампа	Трамп	PER	PER-Donald-Trump
2286	2291	Обаме	Об	PER	PER-Barack-Obama
2390	2396	Трампа	Трамп	PER	PER-Donald-Trump
2536	2552	демократическому	демократический	ORG	ORG-Democratic-Party-USA
2579	2586	Мичиган	Мичиган	LOC	GPE-Michigan
2587	2596	Миннесоту	Миннесота	LOC	GPE-Minnesota
2597	2606	Висконсин	Висконсин	LOC	GPE-Wisconsin
2607	2612	Огайо	Огайо	LOC	GPE-Ohio
2630	2639	демократы	демократы	ORG	ORG-Democratic-Party-USA
2673	2685	Пенсильванию	Пенсильвания	LOC	GPE-Pennsylvania
2691	2704	республиканцы	республиканцы	ORG	ORG-Republican-Party-USA
2718	2725	Флориду	Флорида	LOC	GPE-Florida
2731	2744	республиканцы	республиканцы	ORG	ORG-Republican-Party-USA
2765	2771	Сенате	Сенат	ORG	ORG-United-States-Senate
2900	2910	демократов	демократы	ORG	ORG-Democratic-Party-USA
3110	3116	Байден	Байден	PER	PER-Joe-Biden
3118	3124	Уоррен	Уоррен	PER	PER-Elizabeth-Warren
3126	3131	Браун	Браун	PER	PER-Kerry-Brown
3167	3173	Харрис	Харрис	PER	PER-Kamala-Harris
3175	3185	Гиллибренд	Гиллибренд	PER	PER-Kirsten-Gillibrand
3188	3194	Букера	Букер	PER	PER-Cory-Booker
3202	3210	Гарсетти	Гарсетти	PER	PER-Eric-Garcetti
3229	3236	О’Рурка	О’Рурка	PER	PER-Beto-O'Rourke
3250	3262	американской	американская	LOC	GPE-USA
3591	3596	Трамп	Трамп	PER	PER-Donald-Trump
3607	3617	демократов	демократ	ORG	ORG-Democratic-Party-USA
3626	3637	Выборы-2018	Выборы 2018	EVT	EVT-2018-United-States-Election
3652	3674	демократическая партия	демократическая партия	ORG	ORG-Democratic-Party-USA
3787	3790	NYT	NYT	PRO	PRO-The-New-York-Times
3845	3857	американские	американские	LOC	GPE-USA
3986	3999	американского	американский	LOC	GPE-USA
4619	4631	американских	американские	LOC	GPE-USA
4812	4819	Америке	Америка	LOC	GPE-USA
4829	4837	Конгресс	Конгресс	ORG	ORG-United-States-Congress
5101	5106	Трамп	Трамп	PER	PER-Donald-Trump
5247	5258	американцев	американцы	PER	GPE-USA
5534	5548	республиканцев	республиканцы	ORG	ORG-Republican-Party-USA
5743	5764	Палате представителей	Палата представителей	ORG	ORG-United-States-House-of-Representatives
5771	5781	демократов	демократ	ORG	ORG-Democratic-Party-USA
5803	5817	республиканцев	республиканец	ORG	ORG-Republican-Party-USA
5830	5849	Fivethirtyeight.com	Fivethirtyeight.com	PRO	PRO-FiveThirtyEight
5879	5900	Сook Political Report	Сook Political Report	PRO	PRO-The-Cook-Political-Report
5917	5920	NYT	NYT	PRO	PRO-The-New-York-Times
5922	5934	CNN Forecast	CNN Forecast	PRO	PRO-CNN-Forecast
5954	5965	Харри Энтен	Харри Энтен	PER	PER-Harry-Enten
5969	5972	538	Fivethirtyeight	PRO	PRO-FiveThirtyEight
5974	5982	Politico	Politico	PRO	PRO-Politico
5985	6002	RealClearPolitics	RealClearPolitics	PRO	PRO-RealClearPolitics
6047	6055	Fox News	Fox News	PRO	PRO-Fox-News
6146	6151	MSNBC	MSNBC	PRO	PRO-MSNBC-TV
6154	6157	Vox	Vox	PRO	PRO-Vox
6694	6709	Fivethirtyeight	Fivethirtyeight	PRO	PRO-FiveThirtyEight
6717	6724	Хиллари	Хиллари	PER	PER-Hillary-Clinton
6803	6810	Хиллари	Хиллари	PER	PER-Hillary-Clinton
6864	6870	Трампа	Трамп	PER	PER-Donald-Trump
6936	6943	Клинтон	Клинтон	PER	PER-Hillary-Clinton
7380	7389	демократы	демократы	ORG	ORG-Democratic-Party-USA
7518	7532	республиканцев	республиканец	ORG	ORG-Republican-Party-USA
7670	7675	Трамп	Трамп	PER	PER-Donald-Trump
7918	7928	демократов	демократ	ORG	ORG-Democratic-Party-USA
8010	8024	республиканцев	республиканцы	ORG	ORG-Republican-Party-USA
8037	8047	демократов	демократ	ORG	ORG-Democratic-Party-USA
8135	8143	Politico	Politico	PRO	PRO-Politico
8194	8200	Сенате	Сенат	ORG	ORG-United-States-Senate
8216	8225	демократы	демократы	ORG	ORG-Democratic-Party-USA
8279	8292	республиканцы	республиканцы	ORG	ORG-Republican-Party-USA
8321	8330	демократы	демократы	ORG	ORG-Democratic-Party-USA
8570	8580	демократов	демократы	ORG	ORG-Democratic-Party-USA
8651	8657	Трампа	Трамп	PER	PER-Donald-Trump
8917	8922	Трамп	Трамп	PER	PER-Donald-Trump
9125	9136	выборы 2016	выборы 2016	EVT	EVT-2016-United-States-Presidential-Election
9144	9153	Демократы	демократы	ORG	ORG-Democratic-Party-USA
9197	9212	республиканское	республиканский	ORG	ORG-Republican-Party-USA
9288	9294	Обамой	Обама	PER	PER-Barack-Obama
9396	9402	Трампа	Трамп	PER	PER-Donald-Trump
9440	9454	республиканцев	республиканец	ORG	ORG-Republican-Party-USA
9457	9478	палате представителей	Палата представителей	ORG	ORG-United-States-House-of-Representatives
9609	9615	Сенате	Сенат	ORG	ORG-United-States-Senate
9774	9783	демократы	демократы	ORG	ORG-Democratic-Party-USA
9786	9807	палате представителей	Палата представителей	ORG	ORG-United-States-House-of-Representatives
9872	9875	США	США	LOC	GPE-USA
9895	9903	Конгресс	Конгресс	ORG	ORG-United-States-Congress
9998	10003	Трамп	Трамп	PER	PER-Donald-Trump
10021	10027	Сенате	Сенат	ORG	ORG-United-States-Senate
10084	10090	Сенате	Сенат	ORG	ORG-United-States-Senate
10240	10245	Сенат	Сенат	ORG	ORG-United-States-Senate
10259	10265	Трампа	Трамп	PER	PER-Donald-Trump
10553	10565	выборов 2020	Выборы 2020	EVT	EVT-2020-United-States-Presidential-Election
