12	19	Webcafe	Webcafe	PRO	PRO-Webcafe.bg
96	106	Джо Байдън	Джо Байдън	PER	PER-Joe-Biden
193	216	Демократическата партия	Демократическа партия	ORG	ORG-Democratic-Party-USA
375	389	Владимир Путин	Владимир Путин	PER	PER-Vladimir-Putin
434	440	Байдън	Байдън	PER	PER-Joe-Biden
529	541	Доналд Тръмп	Доналд Тръмп	PER	PER-Donald-Trump
681	686	Путин	Путин	PER	PER-Vladimir-Putin
691	701	Джо Байдън	Джо Байдън	PER	PER-Joe-Biden
739	745	Кремъл	Кремъл	LOC	LOC-Kremlin
845	853	Россия 1	Россия 1	PRO	PRO-Russia-1-TV
857	862	Путин	Путин	PER	PER-Vladimir-Putin
905	911	Байдън	Байдън	PER	PER-Joe-Biden
1004	1010	Кремъл	Кремъл	LOC	LOC-Kremlin
1093	1100	Америка	Америка	LOC	GPE-USA
1330	1335	Путин	Путин	PER	PER-Vladimir-Putin
1379	1382	САЩ	САЩ	LOC	GPE-USA
1384	1389	Путин	Путин	PER	PER-Vladimir-Putin
1442	1454	Доналд Тръмп	Доналд Тръмп	PER	PER-Donald-Trump
1537	1551	Хилари Клинтън	Хилари Клинтън	PER	PER-Hillary-Clinton
1597	1609	Доналд Тръмп	Доналд Тръмп	PER	PER-Donald-Trump
1675	1681	Кремъл	Кремъл	LOC	LOC-Kremlin
1730	1740	Джо Байдън	Джо Байдън	PER	PER-Joe-Biden
2096	2106	демократът	демократ	PER	ORG-Democratic-Party-USA
2223	2235	Доналд Тръмп	Доналд Тръмп	PER	PER-Donald-Trump
2524	2533	Конгресът	Конгрес	ORG	ORG-United-States-Congress
2543	2564	Избирателната колегия	Избирателна колегия	ORG	ORG-United-States-Electoral-College
2642	2662	Конституцията на САЩ	Конституция на САЩ	PRO	PRO-The-USA-Constitution
2686	2695	Белия дом	Бял дом	LOC	LOC-White-House
2723	2728	Путин	Путин	PER	PER-Vladimir-Putin
2898	2910	американците	американци	PER	GPE-USA
2959	2962	САЩ	САЩ	LOC	GPE-USA
3117	3126	Вашингтон	Вашингтон	LOC	GPE-WashingtonDC
3295	3300	Путин	Путин	PER	PER-Vladimir-Putin
3335	3349	Дмитрий Песков	Дмитрий Песков	PER	PER-Dmitry-Peskov
3375	3381	Москва	Москва	LOC	GPE-Moscow
3567	3573	Байдън	Байдън	PER	PER-Joe-Biden
3633	3639	Москва	Москва	LOC	GPE-Moscow
3778	3783	Тръмп	Тръмп	PER	PER-Donald-Trump
3842	3848	Кремъл	Кремъл	LOC	LOC-Kremlin
3866	3880	Владимир Путин	Владимир Путин	PER	PER-Vladimir-Putin
3910	3915	Тръмп	Тръмп	PER	PER-Donald-Trump
3918	3921	САЩ	САЩ	LOC	GPE-USA
4008	4014	Кремъл	Кремъл	LOC	LOC-Kremlin
4065	4079	Хилари Клинтън	Хилари Клинтън	PER	PER-Hillary-Clinton
4275	4280	Путин	Путин	PER	PER-Vladimir-Putin
