22	25	БТА	БТА	ORG	ORG-Bulgarian-News-Agency
107	110	САЩ	САЩ	LOC	GPE-USA
111	123	Доналд Тръмп	Доналд Тръмп	PER	PER-Donald-Trump
203	206	ДПА	ДПА	ORG	ORG-DPA
209	219	Демократът	демократ	PER	ORG-Democratic-Party-USA
220	230	Джо Байдън	Джо Байдън	PER	PER-Joe-Biden
265	270	Тръмп	Тръмп	PER	PER-Donald-Trump
398	403	Тръмп	Тръмп	PER	PER-Donald-Trump
432	435	САЩ	САЩ	LOC	GPE-USA
625	630	Тръмп	Тръмп	PER	PER-Donald-Trump
646	655	Белия дом	Бял дом	LOC	LOC-White-House
828	833	Тръмп	Тръмп	PER	PER-Donald-Trump
1059	1064	Тръмп	Тръмп	PER	PER-Donald-Trump
1149	1158	Уилям Бар	Уилям Бар	PER	PER-William-Barr
1339	1344	Тръмп	Тръмп	PER	PER-Donald-Trump
1507	1512	Тръмп	Тръмп	PER	PER-Donald-Trump
1664	1669	Тръмп	Тръмп	PER	PER-Donald-Trump
1726	1729	САЩ	САЩ	LOC	GPE-USA
1784	1792	Джорджия	Джорджия	LOC	GPE-Georgia-US-state
1879	1891	Сенат на САЩ	Сенат на САЩ	ORG	ORG-United-States-Senate
1933	1942	демократи	демократи	PER	ORG-Democratic-Party-USA
1947	1959	републиканци	републиканци	PER	ORG-Republican-Party-USA
1993	2001	Конгреса	Конгрес	ORG	ORG-United-States-Congress
2032	2046	републиканците	републиканци	PER	ORG-Republican-Party-USA
2053	2067	републиканците	републиканци	PER	ORG-Republican-Party-USA
2135	2141	Сената	Сенат	ORG	ORG-United-States-Senate
2147	2158	демократите	демократи	PER	ORG-Democratic-Party-USA
2194	2202	Конгреса	Конгрес	ORG	ORG-United-States-Congress
2343	2348	Тръмп	Тръмп	PER	PER-Donald-Trump
