0	12	Handelsblatt	Handelsblatt	PRO	PRO-Handelsblatt
14	21	Německo	Německo	LOC	GPE-Germany
71	78	Německo	Německo	LOC	GPE-Germany
115	128	Spojené státy	Spojené státy	LOC	GPE-USA
224	236	Handelsblatt	Handelsblatt	PRO	PRO-Handelsblatt
269	276	Německu	Německo	LOC	GPE-Germany
277	296	Richarda Grenelleho	Richard Grenell	PER	PER-Richard-Grenell
343	358	Dana Broilletta	Dan Brouillett	PER	PER-Dan-Brouillette
399	406	Německu	Německo	LOC	GPE-Germany
712	718	Němcku	Německo	LOC	GPE-Germany
759	775	Angela Merkelová	Angela Merkelová	PER	PER-Angela-Merkel
791	805	Donalda Trumpa	Donald Trump	PER	PER-Donald-Trump
1064	1071	Německo	Německo	LOC	GPE-Germany
1223	1226	USA	USA	LOC	GPE-USA
1228	1235	Německo	Německo	LOC	GPE-Germany
1317	1324	Německa	Německo	LOC	GPE-Germany
1340	1345	Ruska	Rusko	LOC	GPE-Russia
1347	1353	Norska	Norsko	LOC	GPE-Norway
1356	1366	Nizozemska	Nizozemsko	LOC	GPE-Holland
1384	1391	Německo	Německo	LOC	GPE-Germany
1482	1496	Severního moře	Severní moře	LOC	LOC-North-Sea
