53	66	Nord Stream 2	Nord Stream 2	PRO	PRO-Nord-Stream-2
121	126	Ruska	Rusko	LOC	GPE-Russia
151	184	Stockholmského arbitrážního soudu	Stockholmský arbitrážní soud	ORG	ORG-Stockholm-Chamber-of-Commerce
389	417	Stockholmský arbitrážní soud	Stockholmský arbitrážní soud	ORG	ORG-Stockholm-Chamber-of-Commerce
480	488	Naftohaz	Naftohaz	ORG	ORG-Naftogaz
489	497	Ukrajiny	Ukrajina	LOC	GPE-Ukraine
546	555	Gazpromem	Gazprom	ORG	ORG-Gazprom
575	582	Gazprom	Gazprom	ORG	ORG-Gazprom
638	647	Naftohazu	Naftohaz	ORG	ORG-Naftogaz
713	720	Gazprom	Gazprom	ORG	ORG-Gazprom
730	739	Naftohazu	Naftohaz	ORG	ORG-Naftogaz
852	859	Gazprom	Gazprom	ORG	ORG-Gazprom
872	877	Rusko	Rusko	LOC	GPE-Russia
905	927	Stockholmské arbitráže	Stockholmská arbitráž	ORG	ORG-Stockholm-Chamber-of-Commerce
980	988	Ukrajinu	Ukrajina	LOC	GPE-Ukraine
1100	1108	Ukrajiny	Ukrajina	LOC	GPE-Ukraine
1110	1115	Rusko	Rusko	LOC	GPE-Russia
1370	1378	Ukrajině	Ukrajina	LOC	GPE-Ukraine
