0	13	Nord Stream 2	Nord Stream 2	PRO	PRO-Nord-Stream-2
21	23	EU	EU	ORG	ORG-European-Union
52	57	Rusku	Rusko	LOC	GPE-Russia
69	76	Bruselu	Brusel	LOC	GPE-Brussles
77	86	Porošenko	Porošenko	PER	PER-Petro-Poroshenko
90	94	Tusk	Tusk	PER	PER-Donald-Tusk
128	136	Ukrajiny	Ukrajina	LOC	GPE-Ukraine
148	152	Tusk	Tusk	PER	PER-Donald-Tusk
178	180	EU	EU	ORG	ORG-European-Union
181	189	Ukrajina	Ukrajina	LOC	GPE-Ukraine
360	364	Unie	Unie	ORG	ORG-European-Union
383	391	Ukrajiny	Ukrajina	LOC	GPE-Ukraine
510	523	Evropské rady	Evropská rada	ORG	ORG-European-Council
557	565	Ukrajiny	Ukrajina	LOC	GPE-Ukraine
579	585	Polska	Polsko	LOC	GPE-Poland
642	649	Kyjevem	Kyjev	LOC	GPE-Kiev
652	660	Varšavou	Varšava	LOC	GPE-Warsaw
775	787	Andrzej Duda	Andrzej Duda	PER	PER-Andrzej-Duda
798	806	Ukrajiny	Ukrajina	LOC	GPE-Ukraine
898	907	Porošenko	Porošenko	PER	PER-Petro-Poroshenko
944	950	Polska	Polsko	LOC	GPE-Poland
969	978	Ukrajinců	Ukrajinci	PER	GPE-Ukraine
988	994	Poláky	Poláci	PER	GPE-Poland
