1	7	Czexit	Czexit	EVT	EVT-Czexit
40	59	České národní banky	Česká národní banka	ORG	ORG-Czech-National-Bank
68	77	Petr Král	Petr Král	PER	PER-Petr-Kral
95	113	Roudnici nad Labem	Roudnice nad Labem	LOC	GPE-Roudnice-nad-Labem
198	217	České národní banky	Česká národní banka	ORG	ORG-Czech-National-Bank
219	222	ČNB	ČNB	ORG	ORG-Czech-National-Bank
336	339	ČNB	ČNB	ORG	ORG-Czech-National-Bank
489	492	ČNB	ČNB	ORG	ORG-Czech-National-Bank
695	698	ČNB	ČNB	ORG	ORG-Czech-National-Bank
972	975	ČNB	ČNB	ORG	ORG-Czech-National-Bank
1071	1074	ČNB	ČNB	ORG	ORG-Czech-National-Bank
