26	32	Cookie	Cookie	PRO	PRO-Cookie
142	150	Германия	Германия	LOC	GPE-Germany
165	177	коронавируса	коронавирус	EVT	EVT-Covid-19
206	214	Германии	Германия	LOC	GPE-Germany
219	222	ФРГ	ФРГ	LOC	GPE-Germany
330	342	коронавируса	коронавирус	EVT	EVT-Covid-19
344	346	DW	DW	PRO	PRO-Deutsche-Welle
401	409	Немецкие	Немецкие	PER	GPE-German
475	481	немцев	немцы	PER	GPE-Germany
501	513	коронавируса	коронавирус	EVT	EVT-Covid-19
864	871	Баварии	Бавария	LOC	GPE-Bavaria
872	884	Маркус Зёдер	Маркус Зёдер	PER	PER-Markus-Soeder
886	898	Markus Söder	Markus Söder	PER	PER-Markus-Soeder
945	953	COVID-19	COVID-19	EVT	EVT-Covid-19
983	1002	Süddeutsche Zeitung	Süddeutsche Zeitung	PRO	PRO-SUddeutsche-Zeitung
1022	1025	ZDF	ZDF	PRO	PRO-ZDF-TV
1055	1058	ФРГ	ФРГ	LOC	GPE-Germany
1060	1065	Зёдер	Маркус Зёдер	PER	PER-Markus-Soeder
1134	1146	коронавируса	коронавирус	EVT	EVT-Covid-19
1277	1289	Маркус Зёдер	Маркус Зёдер	PER	PER-Markus-Soeder
1303	1315	коронавируса	коронавирус	EVT	EVT-Covid-19
1339	1347	Германии	Германия	LOC	GPE-Germany
1474	1486	Маркус Зёдер	Маркус Зёдер	PER	PER-Markus-Soeder
1538	1563	Немецкому совету по этике	Немецкий совет по этике	ORG	ORG-German-ethics-Council
1657	1665	Германии	Германия	LOC	GPE-Germany
1682	1694	Маркус Зёдер	Маркус Зёдер	PER	PER-Markus-Soeder
1711	1723	коронавируса	коронавирус	EVT	EVT-Covid-19
1776	1781	Зёдер	Маркус Зёдер	PER	PER-Markus-Soeder
2320	2329	баварский	Баварский	PER	GPE-Bayern-Munich
2545	2550	COVID	COVID-19	EVT	EVT-Covid-19
2573	2587	Маркуса Зёдера	Маркус Зёдер	PER	PER-Markus-Soeder
