37	43	Макрон	Макрон	PER	PER-Emmanuel-Macron
58	65	Брекзит	Брекзит	EVT	EVT-Brexit
158	172	Еманюел Макрон	Еманюел Макрон	PER	PER-Emmanuel-Macron
218	225	Брекзит	Брекзит	EVT	EVT-Brexit
236	243	Ройтерс	Ройтерс	ORG	ORG-Reuters
253	263	Обновление	Обновление	ORG	ORG-Renew
345	352	Брекзит	Брекзит	EVT	EVT-Brexit
612	626	Еманюел Макрон	Еманюел Макрон	PER	PER-Emmanuel-Macron
672	679	Брекзит	Брекзит	EVT	EVT-Brexit
690	697	Ройтерс	Ройтерс	ORG	ORG-Reuters
708	718	Обновление	Обновление	ORG	ORG-Renew
800	807	Брекзит	Брекзит	EVT	EVT-Brexit
