0	7	Брекзит	Брекзит	EVT	EVT-Brexit
9	27	Съветът по член 50	Съвет по член 50	ORG	ORG-European-Council-Article-50
75	82	Брюксел	Брюксел	LOC	GPE-Brussles
103	108	ЕС-27	ЕС-27	ORG	ORG-European-Council-Article-50
157	177	Обединеното кралство	Обединеното кралство	LOC	GPE-Great-Britain
221	226	ЕС-27	ЕС-27	ORG	ORG-European-Council-Article-50
312	314	ЕС	ЕС	ORG	ORG-European-Union
346	366	Обединеното кралство	Обединеното кралство	LOC	GPE-Great-Britain
411	415	МВнР	МВнР	ORG	ORG-Ministry-of-Foreign-Affairs-Bulgaria
431	433	ЕС	ЕС	ORG	ORG-European-Union
504	524	Обединеното кралство	Обединеното кралство	LOC	GPE-Great-Britain
573	575	ЕС	ЕС	ORG	ORG-European-Union
616	618	ЕС	ЕС	ORG	ORG-European-Union
751	771	Обединеното кралство	Обединеното кралство	LOC	GPE-Great-Britain
885	904	Екатерина Захариева	Екатерина Захариева	PER	PER-Ekaterina-Zakharieva
956	963	Брюксел	Брюксел	LOC	GPE-Brussles
979	996	Европейския съвет	Европейски съвет	ORG	ORG-European-Council
1240	1242	ЕС	ЕС	ORG	ORG-European-Union
1272	1292	Обединеното кралство	Обединеното кралство	LOC	GPE-Great-Britain
1338	1340	ЕС	ЕС	ORG	ORG-European-Union
1483	1485	ЕС	ЕС	ORG	ORG-European-Union
1501	1503	ОК	ОК	LOC	GPE-Great-Britain
1664	1674	Съда на ЕС	Съд на ЕС	ORG	ORG-European-Court-of-Justice
1738	1740	ОК	ОК	LOC	GPE-Great-Britain
1884	1886	ОК	ОК	LOC	GPE-Great-Britain
1939	1941	ОК	ОК	LOC	GPE-Great-Britain
2115	2117	ОК	ОК	LOC	GPE-Great-Britain
2187	2189	ЕС	ЕС	ORG	ORG-European-Union
2291	2293	ОК	ОК	LOC	GPE-Great-Britain
2464	2466	ЕС	ЕС	ORG	ORG-European-Union
2502	2504	ЕС	ЕС	ORG	ORG-European-Union
2532	2534	ЕС	ЕС	ORG	ORG-European-Union
2586	2588	ЕС	ЕС	ORG	ORG-European-Union
2646	2648	ОК	ОК	LOC	GPE-Great-Britain
2753	2755	ЕС	ЕС	ORG	ORG-European-Union
2788	2790	ЕС	ЕС	ORG	ORG-European-Union
2800	2802	ОК	ОК	LOC	GPE-Great-Britain
2884	2886	ЕС	ЕС	ORG	ORG-European-Union
2925	2927	ОК	ОК	LOC	GPE-Great-Britain
3129	3131	ОК	ОК	LOC	GPE-Great-Britain
3384	3386	ЕС	ЕС	ORG	ORG-European-Union
3526	3555	Информационна агенция "Фокус"	Информационна агенция Фокус	ORG	ORG-Focus-News-Agency
