55	58	БНР	БНР	ORG	ORG-Bulgarian-National-Radio
119	140	Камарата на лордовете	Камара на лордовете	ORG	ORG-House-of-Lords
214	216	ЕС	ЕС	ORG	ORG-European-Union
242	263	Камарата на лордовете	Камара на лордовете	ORG	ORG-House-of-Lords
274	281	Брекзит	Брекзит	EVT	EVT-Brexit
526	547	Камарата на лордовете	Камара на лордовете	ORG	ORG-House-of-Lords
752	754	ЕС	ЕС	ORG	ORG-European-Union
821	841	Камарата на общините	Камара на общините	ORG	ORG-House-of-Commons
886	907	Камарата на лордовете	Камара на лордовете	ORG	ORG-House-of-Lords
958	960	ЕС	ЕС	ORG	ORG-European-Union
1077	1087	Тереза Мей	Тереза Мей	PER	PER-Theresa-May
1215	1222	Брекзит	Брекзит	EVT	EVT-Brexit
1256	1278	Консервативната партия	Консервативна партия	ORG	ORG-Conservative-and-Unionist-Party-UK
1370	1380	Тереза Мей	Тереза Мей	PER	PER-Theresa-May
1412	1419	Брекзит	Брекзит	EVT	EVT-Brexit
